Id,x,y,size,showlabel,key,label
nonexpansive,-2339.749023,139.145554,11.053608,false,nonexpansive,nonexpansive
Strong_convergence,-2388.848389,160.375214,11.053608,false,Strong convergence,Strong convergence
ligands,2745.611084,-1556.215332,11.053608,false,ligands,ligands
ResNet,991.305542,3403.827881,11.053608,false,ResNet,ResNet
kinase,2909.675537,-1498.876099,11.053608,false,kinase,kinase
Hydrophobic,2723.827148,-1625.812988,11.053608,false,Hydrophobic,Hydrophobic
Corpus,-991.868042,2905.665527,11.047789,false,Corpus,Corpus
Histologic,3704.718506,-137.777313,11.046586,false,Histologic,Histologic
Positioning,-3270.664307,-91.878647,11.01899,false,Positioning,Positioning
Navigation,-938.518738,-225.747787,11.01899,false,Navigation,Navigation
adenocarcinomas,3812.813477,-233.725021,11.002609,false,adenocarcinomas,adenocarcinomas
encrypts,-3471.81543,1259.990723,10.990017,false,encrypts,encrypts
MOEA/D,-1025.566162,1205.516357,10.970759,false,MOEA/D,MOEA/D
Vertex,-2532.491943,2712.205566,10.940445,false,Vertex,Vertex
Lithology,462.726471,-2598.672363,10.919055,false,Lithology,Lithology
inhibitors,2827.202393,-1568.812256,10.911283,false,inhibitors,inhibitors
retailers,-1900.760376,1829.332397,10.911283,false,retailers,retailers
Aqueous,926.057434,-2118.453369,10.911283,false,Aqueous,Aqueous
Macular,2621.662109,978.799744,10.898949,false,Macular,Macular
Full-Duplex,-4301.263672,-143.199341,10.889597,false,Full-Duplex,Full-Duplex
subcarrier,-4141.241699,-193.914932,10.889597,false,subcarrier,subcarrier
TCGA,3864.202393,-457.726379,10.869854,false,TCGA,TCGA
resections,3668.28125,-15.895493,10.869854,false,resections,resections
Unsteady,-729.973694,-1920.845337,10.850794,false,Unsteady,Unsteady
Observer-based,-2259.905273,-725.28656,10.848051,false,Observer-based,Observer-based
Inexact,-2256.83252,79.975067,10.839601,false,Inexact,Inexact
Softmax,956.434387,3396.220459,10.839601,false,Softmax,Softmax
Censoring,254.54274,1005.143127,10.833774,false,Censoring,Censoring
depots,-1921.572144,1106.707275,10.830799,false,depots,depots
MOEA,-1060.114746,1190.515747,10.821628,false,MOEA,MOEA
MOP,-1002.483154,1194.86499,10.821628,false,MOP,MOP
buyers,-1888.518921,1806.345703,10.821628,false,buyers,buyers
galaxies,131.38765,-814.709167,10.806118,false,galaxies,galaxies
Stellar,75.912964,-758.56897,10.806118,false,Stellar,Stellar
dose,2293.19043,456.759796,10.80207,false,dose,dose
Geological,465.855713,-2644.255127,10.80207,false,Geological,Geological
inverter,-2256.681641,-1384.891602,10.796907,false,inverter,inverter
Immunohistochemistry,3869.807617,-236.158661,10.780708,false,Immunohistochemistry,Immunohistochemistry
receptors,2927.749512,-1469.796265,10.767591,false,receptors,receptors
Corpora,-966.216431,2944.092529,10.753744,false,Corpora,Corpora
Lexical,-933.018494,2958.627441,10.753744,false,Lexical,Lexical
phantoms,2409.630127,591.714355,10.743254,false,phantoms,phantoms
microenvironments,3844.638672,-405.273102,10.735949,false,microenvironments,microenvironments
LBP,273.353729,1944.841187,10.731464,false,LBP,LBP
firms,-1839.187622,1891.018433,10.731464,false,firms,firms
Docking,2831.046387,-1595.933716,10.695263,false,Docking,Docking
Molecular_docking,2783.369873,-1551.946533,10.695263,false,Molecular docking,Molecular docking
Economic_Geology,556.073364,-2608.924805,10.684229,true,Economic Geology,Economic Geology
Grid-Connected,-2204.314941,-1299.406616,10.677731,false,Grid-Connected,Grid-Connected
Pareto,-1059.819824,1238.866333,10.671082,false,Pareto,Pareto
Cortex,1911.814819,1915.030029,10.65733,false,Cortex,Cortex
T1-weighted,2162.855469,1570.193481,10.65733,false,T1-weighted,T1-weighted
EKF,-1061.181519,-271.841064,10.642925,false,EKF,EKF
sell,-1866.722656,1762.801025,10.640812,false,sell,sell
profits,-1906.666016,1763.734863,10.640812,false,profits,profits
Orthopedics_and_Sports_Medicine,2024.1427,1055.434814,10.627821,true,Orthopedics and Sports Medicine,Orthopedics and Sports Medicine
contrast-to-noise,2604.036133,758.437805,10.624995,false,contrast-to-noise,contrast-to-noise
Pre-trained,976.059448,3454.752441,10.622622,false,Pre-trained,Pre-trained
_Statistical,166.064713,-711.988586,10.618857,false,Statistical,Statistical
Retinal,2618.395752,1020.405334,10.618857,false,Retinal,Retinal
voltage,-2287.731934,-1329.970337,10.617822,false,voltage,voltage
Encrypted,-3464.734131,1222.917236,10.568651,false,Encrypted,Encrypted
Cryptographic,-3431.599121,1339.289673,10.568651,false,Cryptographic,Cryptographic
IMRT,2265.442383,377.204498,10.565558,false,IMRT,IMRT
SBRT,2308.949219,431.562073,10.565558,false,SBRT,SBRT
CSI,-4229.637695,-236.665619,10.560747,false,CSI,CSI
SINR,-4171.803711,-148.410202,10.560747,false,SINR,SINR
Structure-Activity,2756.23999,-1620.121704,10.549674,false,Structure-Activity,Structure-Activity
protease,2933.040283,-1527.091431,10.549674,false,protease,protease
MedicinePurpose,2193.239746,1326.562988,10.533052,false,MedicinePurpose,MedicinePurpose
finite-time,-2252.279785,-700.034912,10.528162,false,finite-time,finite-time
_General,165.048706,-790.424805,10.524449,false,General,General
gyroscope,-874.270081,-150.362686,10.515642,false,gyroscope,gyroscope
Fixed_point,-2359.564453,184.965912,10.513086,false,Fixed point,Fixed point
Metastasis,3784.822266,-242.583878,10.510361,false,Metastasis,Metastasis
OARs,2281.263916,431.226624,10.505919,false,OARs,OARs
VRP,-1863.787354,1078.227417,10.497381,false,VRP,VRP
ankle,1808.651855,1083.811279,10.497381,false,ankle,ankle
Extremity,1939.862793,1113.476318,10.497381,false,Extremity,Extremity
Anterior,2089.010742,1173.408325,10.497381,false,Anterior,Anterior
pharmacophore,2766.302979,-1591.81189,10.476421,false,pharmacophore,pharmacophore
Inhibitory,2793.005127,-1525.952881,10.476421,false,Inhibitory,Inhibitory
Neuroimaging,2031.409424,1896.804077,10.470582,false,Neuroimaging,Neuroimaging
discounts,-1914.835571,1806.518677,10.458059,false,discounts,discounts
Gabor,235.836807,1926.428589,10.458059,false,Gabor,Gabor
Texture_analysis,719.761108,1760.594238,10.458059,false,Texture analysis,Texture analysis
multiuser,-4169.835449,-207.381424,10.449709,false,multiuser,multiuser
Power_allocation,-4210.902832,-130.953186,10.449709,false,Power allocation,Power allocation
Geologic,491.019531,-2641.669922,10.446075,false,Geologic,Geologic
three-phase,-2326.803955,-1410.406982,10.436852,false,three-phase,three-phase
THD,-2312.931885,-1358.033203,10.436852,false,THD,THD
VSI,-2358.650391,-1387.812988,10.436852,false,VSI,VSI
Springer_Nature.The,-1826.569824,2708.496582,10.436852,false,Springer Nature.The,Springer Nature.The
Springer_Nature.In,-1851.769531,2727.416748,10.436852,false,Springer Nature.In,Springer Nature.In
Astronomy_and_Astrophysics,162.902298,-833.890503,10.429533,true,Astronomy and Astrophysics,Astronomy and Astrophysics
Retina,2611.772217,1045.110229,10.429533,false,Retina,Retina
redshifts,135.413849,-764.229492,10.429533,false,redshifts,redshifts
catalogue,199.474167,-730.653015,10.429533,false,catalogue,catalogue
telescope,213.583038,-793.254578,10.429533,false,telescope,telescope
Biopsy,3743.898193,-55.049778,10.419304,false,Biopsy,Biopsy
Hippocampus,1982.709351,1878.565308,10.407888,false,Hippocampus,Hippocampus
Gyrus,1981.150391,1907.420898,10.407888,false,Gyrus,Gyrus
Convolutional,1022.298279,3416.404785,10.402864,false,Convolutional,Convolutional
iterates,-2314.571289,110.230637,10.402864,false,iterates,iterates
NOMA,-4276.28418,-169.823181,10.393929,false,NOMA,NOMA
multi-user,-4169.053223,-234.805435,10.393929,false,multi-user,multi-user
subchannels,-4168.337891,-115.504021,10.393929,false,subchannels,subchannels
Satellite-based,938.503296,-3870.618164,10.391962,false,Satellite-based,Satellite-based
headings,-1028.750488,-219.572388,10.38743,false,headings,headings
VMAT,2245.983887,399.120178,10.386032,false,VMAT,VMAT
kVp,2538.142822,706.219116,10.386032,false,kVp,kVp
Graph_algorithms,-2559.5979,2674.749268,10.384804,false,Graph algorithms,Graph algorithms
polynomial-time,-2578.902832,2659.290771,10.384804,false,polynomial-time,polynomial-time
NP-complete,-2590.039307,2699.798584,10.384804,false,NP-complete,NP-complete
Capacitated,-1948.651367,1099.707642,10.384804,false,Capacitated,Capacitated
discourse,-1016.551147,2803.577148,10.378614,false,discourse,discourse
many-objective,-1071.945435,1270.047119,10.365973,false,many-objective,many-objective
Purchasing,-1908.770508,1853.485474,10.365973,false,Purchasing,Purchasing
Cryptography,-3496.224365,1300.590576,10.353977,false,Cryptography,Cryptography
convective,-458.94928,-2292.579102,10.353977,false,convective,convective
3T,2201.627197,1427.370117,10.344975,false,3T,3T
Cortical,1885.932129,1894.317749,10.344975,false,Cortical,Cortical
_Data_analysis,159.74498,-766.39563,10.334106,false,Data analysis,Data analysis
Sky,155.551819,-857.751953,10.334106,false,Sky,Sky
inhibits,2994.812988,-1443.176147,10.329003,false,inhibits,inhibits
peptides,2979.977783,-1472.193848,10.329003,false,peptides,peptides
Prognosis,3839.053223,-339.657806,10.327781,false,Prognosis,Prognosis
Lymph,3762.273926,-148.357132,10.327781,false,Lymph,Lymph
CNR,2586.349609,713.369995,10.325786,false,CNR,CNR
Stereotactic,2299.612305,354.218964,10.325786,false,Stereotactic,Stereotactic
PTV,2300.852539,380.805817,10.325786,false,PTV,PTV
Proportional-Integral,-2261.626465,-1279.762207,10.31517,false,Proportional-Integral,Proportional-Integral
lexicons,-982.879578,2878.821289,10.302623,false,lexicons,lexicons
Pelvis,2195.464355,883.025696,10.299904,false,Pelvis,Pelvis
Hesitant,-983.036987,2349.169189,10.294811,false,Hesitant,Hesitant
Variational_inequality,-2373.721191,139.256165,10.291958,false,Variational inequality,Variational inequality
Prognostic,3812.821045,-326.391846,10.281842,false,Prognostic,Prognostic
Encryption,-3447.365967,1266.935547,10.281842,false,Encryption,Encryption
macrophages,3819.202881,-496.780853,10.281842,false,macrophages,macrophages
Uniaxial,204.106735,-1431.42395,10.273408,false,Uniaxial,Uniaxial
corporate,-1765.341064,1928.973389,10.273408,false,corporate,corporate
FBP,2559.942627,742.493347,10.265337,false,FBP,FBP
collimators,2185.477051,424.19162,10.265337,false,collimators,collimators
QSAR,2778.653809,-1636.882568,10.254838,false,QSAR,QSAR
Potent,2811.343262,-1547.461426,10.254838,false,Potent,Potent
conformations,2715.206299,-1565.82605,10.254838,false,conformations,conformations
OCT,2622.099609,952.208496,10.238173,false,OCT,OCT
tumors,3796.03833,-187.643082,10.235786,false,tumors,tumors
Multiple-Output,-4198.020508,-282.69696,10.225536,false,Multiple-Output,Multiple-Output
Non-orthogonal,-4232.726074,-145.012421,10.225536,false,Non-orthogonal,Non-orthogonal
BS,-4255.738281,-154.618973,10.225536,false,BS,BS
Pareto-optimal,-1040.894897,1281.691284,10.211432,false,Pareto-optimal,Pareto-optimal
offsprings,1215.96936,144.952255,10.211432,false,offsprings,offsprings
Security,-3421.609863,1271.028931,10.209417,false,Security,Security
Confidentiality,-3439.638916,1225.135376,10.209417,false,Confidentiality,Confidentiality
American_Association_of_Physicists,2254.192383,472.867462,10.204683,false,American Association of Physicists,American Association of Physicists
discrete-time,-2343.000977,-709.172302,10.202301,false,discrete-time,discrete-time
Robust_control,-2258.841797,-767.582825,10.202301,false,Robust control,Robust control
OLI,1102.336792,-3772.482666,10.196123,false,OLI,OLI
Seasonal,1011.349426,-3865.272461,10.196123,false,Seasonal,Seasonal
mRNA,3851.179932,-831.968201,10.189613,false,mRNA,mRNA
mRNAs,3883.904053,-799.495483,10.189613,false,mRNAs,mRNAs
CNN,1021.495789,3475.936279,10.180365,false,CNN,CNN
Adsorption,827.359619,-2139.341797,10.180365,false,Adsorption,Adsorption
Convolution,1002.895142,3380.549072,10.180365,false,Convolution,Convolution
purchase,-1875.353149,1831.807495,10.180365,false,purchase,purchase
molecules,2652.63208,-1627.235107,10.180365,false,molecules,molecules
enzyme,2900.937256,-1529.595703,10.180365,false,enzyme,enzyme
payments,-1860.313477,1851.021851,10.180365,false,payments,payments
Bregman,-2271.780273,198.337006,10.180365,false,Bregman,Bregman
Multiple-input,-4209.805176,-259.917084,10.169054,false,Multiple-input,Multiple-input
transmitter,-4194.390137,-198.567947,10.169054,false,transmitter,transmitter
words,-1000.947876,2978.731201,10.149671,false,words,words
phrases,-987.714783,2957.807861,10.149671,false,phrases,phrases
Gy,2302.030762,406.428131,10.143826,false,Gy,Gy
CBCT,2311.242188,587.343201,10.143826,false,CBCT,CBCT
Differentially,3875.93457,-739.018066,10.143323,false,Differentially,Differentially
Optical_coherence_tomography,2645.063232,961.758484,10.141724,false,Optical coherence tomography,Optical coherence tomography
Ocular,2545.788818,1000.899536,10.141724,false,Ocular,Ocular
Watermarking,-3316.449463,1166.002197,10.1367,false,Watermarking,Watermarking
Unauthorized,-3460.244873,1313.05249,10.1367,false,Unauthorized,Unauthorized
Unscented,-1104.807617,-265.626404,10.128225,false,Unscented,Unscented
WLAN,-3694.403809,6.366366,10.128225,false,WLAN,WLAN
TOA,-3191.186279,-240.300232,10.128225,false,TOA,TOA
Radiographic,2144.87793,993.071289,10.10023,false,Radiographic,Radiographic
Sagittal,1950.997559,1064.083374,10.10023,false,Sagittal,Sagittal
Pelvic,3239.677734,393.673462,10.10023,false,Pelvic,Pelvic
biopsies,3752.494385,-85.871979,10.096912,false,biopsies,biopsies
metastases,3721.940674,-114.085129,10.096912,false,metastases,metastases
Squamous,3841.690186,-230.426849,10.096912,false,Squamous,Squamous
Pathologic,3723.841064,-83.719673,10.096912,false,Pathologic,Pathologic
resting-state,1989.536865,1935.941772,10.091103,false,resting-state,resting-state
adolescents,2314.807373,1816.299683,10.091103,false,adolescents,adolescents
genome,3689.908447,-1305.33728,10.090591,false,genome,genome
EM_algorithm,210.117889,1028.039307,10.089375,false,EM algorithm,EM algorithm
Anthropomorphic,2388.819092,556.692993,10.082762,false,Anthropomorphic,Anthropomorphic
sandstone,494.109741,-2578.3396,10.082762,false,sandstone,sandstone
Resistivity,439.898804,-2610.888184,10.082762,false,Resistivity,Resistivity
chlorophyll,1094.3927,-3733.453369,10.077594,false,chlorophyll,chlorophyll
multicore,-3782.970947,1908.994385,10.075116,false,multicore,multicore
MATLAB/Simulink,-2250.650391,-1348.390991,10.069315,false,MATLAB/Simulink,MATLAB/Simulink
Nonsmooth,-2247.894775,126.178413,10.068075,false,Nonsmooth,Nonsmooth
Imperceptibility,-3335.919678,1136.635376,10.063687,false,Imperceptibility,Imperceptibility
secure,-3506.194336,1230.686035,10.063687,false,secure,secure
Nusselt,-687.883057,-1994.408813,10.063687,false,Nusselt,Nusselt
eavesdropper,-4326.649414,-178.722595,10.055558,false,eavesdropper,eavesdropper
Non-dominated,-1020.476562,1229.168579,10.055558,false,Non-dominated,Non-dominated
Precoding,-4252.615723,-226.887665,10.055558,false,Precoding,Precoding
precoder,-4268.901855,-245.485825,10.055558,false,precoder,precoder
MOPSO,-1082.465942,1226.140869,10.055558,false,MOPSO,MOPSO
Nondominated,-998.041382,1234.379517,10.055558,false,Nondominated,Nondominated
_Numerical,88.940063,-813.499756,10.044758,false,Numerical,Numerical
admits,-2565.54126,2698.17749,10.042774,false,admits,admits
Knee,1920.601562,1081.150879,10.033178,false,Knee,Knee
Hip,2010.837524,1024.904175,10.033178,false,Hip,Hip
Virtual_screening,2800.500488,-1570.329346,10.030493,false,Virtual screening,Virtual screening
isotherms,684.109253,-2109.602051,10.030493,false,isotherms,isotherms
solvents,1442.136475,-1889.522461,10.030493,false,solvents,solvents
licence,-1818.287231,2746.9646,10.007323,false,licence,licence
Springer-Verlag_London_Ltd.,-1803.106812,2703.646973,10.007323,false,Springer-Verlag London Ltd.,Springer-Verlag London Ltd.
IHC,3860.976562,-206.498749,10.00373,false,IHC,IHC
Histopathological,3774.471436,-68.44545,10.00373,false,Histopathological,Histopathological
EE,-4262.730957,-96.903877,9.998541,false,EE,EE
Indoor_localization,-3299.003906,-87.383492,9.997211,false,Indoor localization,Indoor localization
Syntactic,-986.677917,2999.37793,9.995411,false,Syntactic,Syntactic
Arabic,-920.364563,2913.812012,9.995411,false,Arabic,Arabic
attacks,-3378.335449,1321.125366,9.990379,false,attacks,attacks
all-cause,3353.051025,962.673157,9.990379,false,all-cause,all-cause
many-core,-3810.526123,1916.857056,9.986937,false,many-core,many-core
Chattering,-2242.785889,-797.753601,9.981735,false,Chattering,Chattering
event-triggered,-2307.46875,-649.97522,9.981735,false,event-triggered,event-triggered
Atrophy,2007.729126,1811.688721,9.962811,false,Atrophy,Atrophy
Geology,525.919312,-2666.481689,9.960012,true,Geology,Geology
facies,502.709625,-2600.817627,9.960012,false,facies,facies
high-grade,3783.440186,-125.76738,9.956959,false,high-grade,high-grade
residues,2909.365967,-1558.156372,9.955086,false,residues,residues
Cosmological,149.645981,-745.049927,9.947267,false,Cosmological,Cosmological
Cosmology,85.98938,-734.454041,9.947267,false,Cosmology,Cosmology
stars,118.024193,-836.371643,9.947267,false,stars,stars
catalogs,189.068451,-794.789673,9.947267,false,catalogs,catalogs
universe,124.025375,-696.634155,9.947267,false,universe,universe
SWIPT,-4313.508789,-239.381729,9.941341,false,SWIPT,SWIPT
Beamforming,-4280.39502,-267.657867,9.941341,false,Beamforming,Beamforming
Semiparametric,225.773758,985.6474,9.936695,false,Semiparametric,Semiparametric
solvable,-2571.62207,2635.51001,9.927305,false,solvable,solvable
pickups,-1904.475342,1067.809937,9.927305,false,pickups,pickups
Nature-inspired,-1485.994141,910.4505,9.927305,false,Nature-inspired,Nature-inspired
Chlorophyll-a,1036.376953,-3733.806641,9.918329,false,Chlorophyll-a,Chlorophyll-a
Watermarked,-3301.737061,1144.296753,9.916771,false,Watermarked,Watermarked
cipher,-3456.894531,1288.973633,9.916771,false,cipher,cipher
cryptosystems,-3517.740479,1288.931885,9.916771,false,cryptosystems,cryptosystems
Hiding,-3392.671631,1174.257812,9.916771,false,Hiding,Hiding
Convection,-664.802246,-1986.228271,9.916771,false,Convection,Convection
Turbulent,-691.66571,-1911.894165,9.916771,false,Turbulent,Turbulent
lncRNAs,3904.569824,-749.301453,9.910066,false,lncRNAs,lncRNAs
Immunotherapy,3793.743408,-381.353302,9.910066,false,Immunotherapy,Immunotherapy
immune,3817.717529,-461.536804,9.910066,false,immune,immune
OS,3853.740234,-285.750641,9.910066,false,OS,OS
malignancies,3772.681641,-174.215469,9.910066,false,malignancies,malignancies
single-objective,-1062.677856,1214.459717,9.898321,false,single-objective,single-objective
Replenishment,-1929.230835,1866.83606,9.898321,false,Replenishment,Replenishment
Biomechanical,1874.276367,1077.756348,9.898321,false,Biomechanical,Biomechanical
Finance,-1790.78064,1850.409058,9.898321,true,Finance,Finance
/SUP,4929.710938,399.149078,9.898321,false,/SUP,/SUP
super,4918.091309,380.541748,9.898321,false,super,super
laminates,119.736374,-1479.461304,9.898321,false,laminates,laminates
MIMO,-4213.84375,-303.266083,9.883959,false,MIMO,MIMO
Secrecy,-4292.151367,-210.665253,9.883959,false,Secrecy,Secrecy
compounds,2801.046387,-1621.93396,9.87936,false,compounds,compounds
bonds,1785.130859,-1774.727783,9.87936,false,bonds,bonds
methylene,880.039978,-2150.249512,9.87936,false,methylene,methylene
aromatics,2618.08252,-1668.487549,9.87936,false,aromatics,aromatics
Sliding_mode_control,-2195.82373,-777.165466,9.87043,false,Sliding mode control,Sliding mode control
UKF,-1081.932983,-257.350616,9.865236,false,UKF,UKF
Kalman,-1070.675415,-236.620621,9.865236,false,Kalman,Kalman
RSSI,-3346.450439,-41.246021,9.865236,false,RSSI,RSSI
whole-genome,3701.905762,-1374.301025,9.864176,false,whole-genome,whole-genome
lncRNA,3904.709229,-718.438354,9.863047,false,lncRNA,lncRNA
Space_and_Planetary_Science,174.56134,-812.976868,9.849242,true,Space and Planetary Science,Space and Planetary Science
Sensory_Systems,2567.108398,1013.417847,9.849242,true,Sensory Systems,Sensory Systems
watermarks,-3312.582031,1119.299805,9.842859,false,watermarks,watermarks
Decryption,-3495.316895,1252.323364,9.842859,false,Decryption,Decryption
Securing,-3380.656494,1293.320923,9.842859,false,Securing,Securing
monotone,-2312.114746,165.924622,9.841376,false,monotone,monotone
Primal-dual,-2274.104004,117.773788,9.841376,false,Primal-dual,Primal-dual
Sentiment,-1008.403381,2878.932129,9.839814,false,Sentiment,Sentiment
n-grams,-989.172607,2932.212646,9.839814,false,n-grams,n-grams
Monsoon,976.628418,-3939.224609,9.838163,false,Monsoon,Monsoon
carbonate,517.556091,-2581.466797,9.836416,false,carbonate,carbonate
T2-weighted,2344.718506,1295.005981,9.833597,false,T2-weighted,T2-weighted
UEs,-4246.751465,-72.364037,9.82639,false,UEs,UEs
PWM,-2287.086426,-1426.485352,9.820054,false,PWM,PWM
nucleotide,3678.380127,-1363.057007,9.818547,false,nucleotide,nucleotide
Survival,3830.446533,-303.741333,9.815905,false,Survival,Survival
Cox,3855.452148,-314.972229,9.815905,false,Cox,Cox
Vehicle_routing,-1930.14917,1072.936768,9.811088,false,Vehicle routing,Vehicle routing
Makespan,-2210.990479,1288.265503,9.811088,false,Makespan,Makespan
tardiness,-2171.680664,1287.0354,9.811088,false,tardiness,tardiness
Variable_neighborhood_search,-1925.862793,1132.965088,9.811088,false,Variable neighborhood search,Variable neighborhood search
subgraphs,-2509.004395,2704.101562,9.811088,false,subgraphs,subgraphs
travelers,-1901.89856,622.882202,9.811088,false,travelers,travelers
digraphs,-2549.731445,2626.509033,9.811088,false,digraphs,digraphs
OpenCL,-3747.400391,1936.907471,9.809265,false,OpenCL,OpenCL
Conformational,2705.205566,-1590.502686,9.803312,false,Conformational,Conformational
Structure-based,2850.045898,-1555.292725,9.803312,false,Structure-based,Structure-based
binder,2965.49292,-1506.476929,9.803312,false,binder,binder
price,-1849.654175,1782.359863,9.803312,false,price,price
Vegetation,1149.871216,-3826.572021,9.797944,false,Vegetation,Vegetation
ASIR,2576.432861,763.544495,9.774294,false,ASIR,ASIR
Keys,-3494.971191,1276.288208,9.768636,false,Keys,Keys
depressive,2158.830078,1905.69812,9.768636,false,depressive,depressive
Psychiatry_and_Mental_Health,2132.057861,1923.652832,9.768636,true,Psychiatry and Mental Health,Psychiatry and Mental Health
Malignancy,3757.213135,0.680403,9.768636,false,Malignancy,Malignancy
Co-expression,3927.942627,-768.480164,9.768636,false,Co-expression,Co-expression
Psychiatric,2182.323975,1892.23877,9.768636,false,Psychiatric,Psychiatric
compressible,-809.981812,-1848.438721,9.768636,false,compressible,compressible
WM,1982.191162,1794.325073,9.768636,false,WM,WM
Contrast-enhanced,3084.121338,478.109253,9.768636,false,Contrast-enhanced,Contrast-enhanced
Musculoskeletal,1881.64856,1108.693481,9.762437,false,Musculoskeletal,Musculoskeletal
Distal,2250.352539,1042.829468,9.762437,false,Distal,Distal
texts,-969.615417,2919.216797,9.761501,false,texts,texts
Lyapunov,-2288.126953,-740.045288,9.758425,false,Lyapunov,Lyapunov
Quadrotor,-1304.913696,-1091.986938,9.758425,false,Quadrotor,Quadrotor
Underactuated,-1974.840576,-676.353821,9.758425,false,Underactuated,Underactuated
Chl-a,1053.375732,-3754.58667,9.757633,false,Chl-a,Chl-a
seasons,1082.709839,-3855.255859,9.757633,false,seasons,seasons
haloes,88.575035,-779.742004,9.750673,false,haloes,haloes
vasculature,2733.988525,1021.642395,9.750673,false,vasculature,vasculature
Multiobjective_optimization,-1014.549988,1251.329956,9.739687,false,Multiobjective optimization,Multiobjective optimization
multiobjective,-980.058533,1248.573364,9.739687,false,multiobjective,multiobjective
NSGA-II,-1036.87439,1244.533081,9.739687,false,NSGA-II,NSGA-II
Decomposition-based,-1003.893311,1170.790649,9.739687,false,Decomposition-based,Decomposition-based
Elitist,-1014.702087,1275.480225,9.739687,false,Elitist,Elitist
Extended_Kalman_filter,-1036.281616,-268.438171,9.732275,false,Extended Kalman filter,Extended Kalman filter
proteins,2997.503662,-1501.065918,9.726936,false,proteins,proteins
Subgradient,-2290.924316,152.861282,9.726936,false,Subgradient,Subgradient
hydrocarbons,634.994751,-2463.767334,9.726936,false,hydrocarbons,hydrocarbons
Nonconvex,-2245.074463,191.543777,9.726936,false,Nonconvex,Nonconvex
Handcrafted,1016.448608,3439.174805,9.726936,false,Handcrafted,Handcrafted
Metastatic,3754.780029,-195.767731,9.721241,false,Metastatic,Metastatic
