key,doc_count
Data analysis,659
Electroencephalography,659
Recommender systems,659
Spark,659
Artificial bee colony algorithm,657
Arctic,656
RAM,654
Finite element analysis,652
PDE,651
Navigation,649
Inc.,648
Markov chain,646
HF,645
Bregman,644
Denoising,644
Amazon,642
FACTS,641
Mahalanobis,641
Neumann,641
TB,641
SLA,640
Tracking,640
Helmholtz,639
Riemannian,639
SE,639
JPEG,636
Resource management,636
Complex networks,635
Russia,635
SD,633
Stokes,632
keV,632
Machine vision,631
OMP,631
PPG,631
PET/CT,630
3D reconstruction,629
Asia,629
Image denoising,628
CNC,627
Information retrieval,627
BP neural network,626
Jacobi,625
ASD,623
RD,623
EMS,622
Gaussian mixture model,621
LM,620
Online learning,620
ILC,619
LS-SVM,618
Cultural Studies,617
IMU,617
Channel estimation,616
LiDAR,616
Canny,615
Global Positioning System,613
Interpolation,613
MCC,613
Robust optimization,612
LA,611
SP,611
Drosophila,610
Epilepsy,609
MM,609
Constrained optimization,608
Imaging,606
MLE,604
CRF,603
Parameter identification,603
RSSI,603
Volterra,603
Dictionary learning,601
Electric vehicle,600
Singular value decomposition,600
LS,598
Benders,597
Russian,595
WDM,594
AlexNet,592
Electroencephalogram,591
PTV,591
Beamforming,590
Bayesian network,586
Molecular dynamics,586
Sun,586
NE,585
HU,584
SPA,582
Uncertainty quantification,582
BD,581
DTW,580
Sliding mode control,580
Change detection,578
HRV,578
Kappa,575
Discrete wavelet transform,573
Parasitology,573
HVAC,572
Image enhancement,572
GLCM,571
NoC,571
Data models,570
Newton-Raphson,570
robustness,569
P2P,568
SDR,568
Demand response,567
Lévy,566
Q-learning,566
CO,565
Gait,565
Mach,565
State estimation,565
Energy harvesting,564
Image restoration,562
Risk assessment,562
Speech,562
Sustainability,562
Target tracking,562
Xilinx,561
Bland-Altman,560
MEG,560
GPGPU,558
RLS,558
CBCT,557
ST,555
Advanced and Specialized Nursing,554
MCDM,554
Neuropsychology and Physiological Psychology,554
Transplantation,554
Computational fluid dynamics,552
Jaccard,552
LAI,552
LQR,552
PID controller,552
Bagging,550
Cu,550
WT,549
Rough set,548
H.264/AVC,547
RBFNN,547
WLAN,546
CTA,544
Additive manufacturing,543
DWI,543
NURBS,543
Object tracking,542
Reproductive Medicine,542
DBN,541
Network lifetime,540
Power quality,538
UC,538
TOA,537
SPH,536
Distributed algorithms,535
Mobile robot,535
VI,535
DF,534
Legendre,534
Spectral clustering,534
CEC,533
Fault tolerance,533
MSA,533
Vehicle routing problem,533
Chebyshev,532
MEMS,532
Massive MIMO,532
SI,530
SQP,530
VMAT,530
multiuser,530
MDS,529
Paleontology,529
SINR,526
VNS,525
Lung cancer,524
Data assimilation,523
RP,523
Predictive models,522
TLS,522
ADC,521
DAG,521
Greedy algorithm,521
Nash equilibrium,521
Pakistan,521
Diffusion,520
Political Science and International Relations,519
Accounting,518
GEO,517
Deep reinforcement learning,516
LR,516
MLC,516
VRP,515
AODV,514
VMD,514
AIC,513
MRF,513
GI,512
Clustering algorithm,511
Parkinson's disease,511
SV,511
Dimension reduction,510
INS,510
Model selection,510
Graph algorithms,509
DBSCAN,508
HPC,508
PSA,508
GWAS,506
Outlier detection,506
Manifold learning,505
VLC,505
Vehicle routing,504
DRL,502
MLR,502
CBR,501
EEMD,501
XOR,501
K-Nearest Neighbor,500
PMU,500
Toeplitz,500
Ant colony algorithm,499
Boosting,499
ISI,499
Text classification,496
TDMA,495
Economic Geology,494
Iterative algorithm,494
DDoS,493
Screening,493
Tomography,493
AMD,491
Heat transfer,491
Prostate cancer,491
SARS-CoV-2,491
Gene Ontology,490
NR,490
PCC,490
ECC,489
BCI,488
MU,488
Optimal design,488
Super-resolution,488
CL,487
HIV,487
LD,487
PNN,487
Unmanned aerial vehicle,485
Wireless communication,485
ASIC,484
ESA,483
Global convergence,483
Finite element,482
Nephrology,482
Decision-making,481
GSM,481
PSS,481
Compression,480
Cellular automata,479
Constrained,479
ERP,479
GE,479
IGI Global,479
Visual Arts and Performing Arts,479
DP,478
Optical coherence tomography,478
Parallel processing,478
Gamma,475
Vietnam,475
Wind turbine,475
IA,474
Mapping,474
Power control,472
SW,472
Visual tracking,472
Similarity,471
Lung,470
Point cloud,470
TEM,470
Oral Surgery,468
Recurrent neural network,468
SSC,468
Wireless networks,468
Atrial fibrillation,467
Fixed point,467
HDR,467
Statistics,467
Stochastic optimization,467
TF,467
Steiner,466
Brain,465
AFM,464
Network security,464
Topology,464
obese,464
DC-DC,463
Decision support,463
Particle swarm optimisation,463
QAM,462
Real-time systems,462
Response surface methodology,462
BEM,461
Hierarchical clustering,461
Bandwidth,460
Scalability,459
DSA,458
GRNN,458
MFCC,458
Missing data,458
CSS,457
Connectivity,456
Decomposition,456
HSV,456
Safety,456
Crowdsourcing,455
Data clustering,455
Firefly,453
Collision avoidance,452
FDR,452
Industrial Relations,452
Optimal power flow,452
PCM,452
CRLB,451
QSPR,451
Speech and Hearing,451
Glaucoma,450
TCP,450
Landsat 8,449
Medicare,448
Differential evolution algorithm,446
Bat algorithm,445
Parallel algorithm,445
Robust control,445
ANC,444
Association rules,444
Fuzzy control,442
RDF,442
SST,442
SDP,441
Markov decision process,440
Maximum likelihood estimation,440
TDOA,440
fMRI,440
CRP,439
SCADA,439
Convergence analysis,438
Particle swarm optimization algorithm,438
SAT,438
VA,438
WSNs,438
Diversity,437
N2,436
Tabu,436
CMS,435
ECM,435
NPC,434
CDS,433
PLS-DA,432
Trust,431
Image compression,430
Power allocation,430
Surface roughness,430
Gaussian process,429
Gravitational search algorithm,429
AO,428
Sensor fusion,428
CNS,427
Computational geometry,427
FIS,427
Nonlinear systems,427
RMSEP,427
Total variation,427
VF,427
YouTube,427
TSS,426
Coronavirus,425
EMR,424
RL,424
Object recognition,423
Depression,422
FLC,422
Image retrieval,422
PDR,421
Anomaly,420
Arabidopsis,420
IDS,420
IHC,420
Memetic algorithm,420
Motion estimation,420
Multilayer perceptron,420
Sentinel-2,420
Cox,419
Network analysis,419
DNS,418
Planning,418
Schizophrenia,418
Verification,418
Filtering,416
FNN,414
Water quality,414
Image quality,413
LU,410
MPS,410
PEMFC,410
IIR,408
Maximum likelihood,408
NS,408
TCM,408
ICI,407
Vision,407
Gaussian process regression,406
Independent component analysis,406
Stochastic programming,406
Data science,405
Molecular docking,405
SPECT,405
Watermarking,405
Congestion control,404
Fog computing,404
Iris,404
SPM,404
LFC,403
PLL,402
CH4,401
MHD,401
Virtual reality,401
Monte Carlo method,400
SAS,400
Traveling salesman problem,400
Urban,400
kV,400
Cuckoo search,399
Electronic health records,399
ICD,399
MIMO-OFDM,399
Time series analysis,399
FDM,398
Obstacle avoidance,398
SIC,398
Acoustic,397
GRU,397
Optical flow,397
Risk,397
AERONET,396
Computer-aided diagnosis,396
MDD,396
WEKA,396
Wikipedia,395
DTC,394
Inventory,394
AMI,393
HPV,393
ACM,392
AUROC,392
Sampling,392
Solar energy,392
Mortality,391
Hidden Markov model,389
PF,389
Social network analysis,388
Trajectory,388
Adaptive filter,387
Soil moisture,386
Classification algorithms,384
Structural optimization,384
Motion planning,383
Multiple sclerosis,382
DFIG,381
Determination,380
Wind energy,380
EF,379
Registration,379
Soft computing,379
Stability analysis,379
Empirical mode decomposition,378
DBS,377
Inversion,377
Maximum power point tracking,377
NLOS,377
SMO,377
Incremental learning,376
SIFT,376
Soft,374
Deconvolution,373
Emotion recognition,373
Harmony search,373
RT-qPCR,373
Fourier transform,372
Iterative learning control,372
Supply chain,371
LEO,370
Precipitation,370
SURF,370
Synthetic aperture radar,369
Distributed optimization,367
KEGG,367
Ranking,366
SCM,366
FPA,365
MOGA,365
Supply chain management,365
CMR,364
CSO,364
Lithium-ion battery,364
Long short-term memory,363
EIT,362
Energy saving,362
Evolution,362
Extended Kalman filter,362
EDM,361
ADP,360
Information fusion,360
Mobility,360
OFDMA,360
PFS,360
Radiotherapy,360
bioinformatics,360
Induction motor,359
MB,359
Mobile edge computing,359
GO,358
Heterogeneity,358
PAPR,358
CBIR,357
Plasma,357
ROS,357
SSR,357
colonies,357
AAA,356
Ag,356
QC,356
Variational inequality,356
Indoor localization,355
Noise reduction,355
SMOTE,355
Matrix factorization,354
Melanoma,354
RRT,354
Bootstrap,353
Information security,352
Multi-objective optimisation,352
RM,352
Strong convergence,352
VR,352
Heart failure,351
None,351
Fusion,350
Variable neighborhood search,350
Least squares,349
Volumetric,349
CSP,348
HetNets,348
MMSE,348
Management,348
Review,348
Online algorithms,347
SFLA,347
UAS,347
Shortest path,346
Surrogate model,346
radiomics,346
Linear discriminant analysis,345
PIC,345
MaxEnt,344
PAR,344
VC,344
Whale optimization algorithm,344
Conservation,343
Fuzzy sets,343
MOEAs,343
SWAT,343
convergence,343
Convolution,342
QoE,342
Radial basis function,342
VIIRS,341
Hyperspectral,340
MCA,340
DAS,339
Intrusion detection system,339
K-nearest,339
MSD,339
Spectrum sensing,339
UE,339
LMI,338
MLS,338
MRA,338
Autonomous vehicles,337
Feature fusion,337
Masson,337
Energy storage,336
High-dimensional data,336
Query,336
Supervised machine learning,336
Decryption,335
Hybrid model,335
Quantum computing,335
TC,335
EPI,334
Hepatocellular carcinoma,334
Quality,334
Risk factors,334
DSC,333
EH,333
Normalization,333
AMR,332
Mass spectrometry,332
Survival,332
CRN,331
Data analytics,331
Evapotranspiration,331
LBS,331
RV,331
Similarity measure,331
VT,331
CFRP,330
Hadamard,330
Specificity,330
Chl,329
Routing algorithm,329
VSC,329
MST,328
FOV,326
RT,326
Simulated annealing algorithm,326
TM,326
Virtual screening,326
RBC,325
WM,325
Hybrid,323
LDA,323
Smart city,323
TPS,323
Knowledge discovery,322
LSM,322
Semantic segmentation,322
SBRT,321
PIV,320
Schrödinger,320
Parallelization,319
QT,319
SBP,319
DCNN,318
Electromyography,318
Functional connectivity,318
HVDC,318
POI,318
Systems biology,318
Predictive control,317
Texture analysis,317
Adaptive algorithm,316
Phase retrieval,316
Trajectory planning,316
DNA,312
NVIDIA,312
Time delay,312
Convolution neural network,310
ECT,310
SSL,310
Survival analysis,310
TN,310
AML,308
CpG,308
Dementia,308
Greedy,308
PSC,308
Sparse coding,308
Anisotropy,307
IRS,307
Network coding,307
Thresholding,307
AUV,306
DIR,306
Internet,306
IIoT,305
KM,305
Lamb,305
TS,305
PSF,304
RO,304
ALO,303
Assembly,302
Distributed systems,302
EGFR,302
Distributed control,301
Obesity,300
Osteoporosis,300
CBF,298
Docking,298
Battery,297
Consistency,297
Kernel methods,297
LEACH,297
LSSVM,297
HAR,296
FTIR,295
ROM,295
Distribution network,294
Partial least squares,294
Embedded systems,292
FOPID,292
Matching,291
Routing protocol,291
Tuberculosis,291
Meta-analysis,290
QTL,290
DT,289
ODE,289
UPFC,289
viz.,289
Au,288
Cognitive radio networks,288
DMD,288
Mixed integer programming,288
CGM,287
Metaheuristic algorithms,287
CHD,286
OpenMP,286
TBI,286
VSI,286
Fuzzy c-means,285
Expert system,284
Multimedia,284
Preprocessing,284
CF,283
FDD,283
Morphology,283
SIR,283
Wearable sensors,283
Cybersecurity,282
cancer,278
Recommendation system,277
SPP,277
Hyperspectral image,276
Iterative reconstruction,276
PCI,276
stroke,276
Power system,274
S1,274
Virtualization,274
Adaptation,273
Brain-computer interface,273
IoV,273
QP,273
Multi-objective genetic algorithm,272
AMP,271
ASR,271
Cross-validation,271
Pricing,271
Microscopy,270
Multiple linear regression,270
SCI,270
L1,269
BCS,268
Generative adversarial networks,267
MOP,267
VAR,266
Aggregation,265
DCE-MRI,265
Expectation-Maximization,265
Integer linear programming,265
CDI,264
Electrocardiography,264
Galactic,264
Reproducibility,264
Topological,264
BMD,263
DI,263
dB,263
MRS,262
NP-hard,262
UML,262
DPC,260
MeV,260
Modularity,260
NFV,260
Reconfiguration,260
TCGA,260
Echocardiography,259
Hall,258
Control systems,257
DPD,257
PVC,257
Data streams,256
MIR,256
PES,256
Convex,254
SCD,254
heuristics,254
Decoding,253
GDM,253
OCTA,253
EOS,252
Fuzzy logic controller,252
Kurtosis,252
Level set,252
robotics,252
Petri nets,251
Photovoltaic system,251
optimization methods,251
NAFLD,250
TCSC,250
multiagent systems,250
AV,249
Cognition,249
Density,249
Distribution system,249
Virtual machine,249
Mammography,248
Nonlinear,248
Asymmetric,247
ResNet,247
MMC,246
Congestion,245
GMDH,245
Iterative methods,245
Quantification,245
RNA-seq,245
EL,244
Multicast,244
OCR,244
Precision,244
Bacteria,243
Heterogeneous networks,243
GPM,242
SVPWM,242
TAC,242
Cryptanalysis,241
PAN,241
CD4,240
HEV,240
SRS,240
biomarkers,240
metaheuristics,240
Mixture models,239
BF,238
Hypertension,238
Type-2,238
femtocell,238
Multimodal,237
SMAP,237
QA,236
ADAS,235
CORDIC,235
Fast Fourier transform,235
Malaria,235
AGB,234
Autonomous,234
Branch-and-bound,234
Meta-heuristic algorithms,234
Numerical methods,234
SEM,234
Scheduling algorithm,234
CAT,233
Deep belief network,233
Neuroimaging,233
Sentinel-1,233
Workflow,233
Asthma,232
Encoding,232
Markov random field,232
Tree,232
Imputation,231
Jaya,231
Wi-Fi,231
AOA,230
Atmospheric,230
Mn,230
Personalization,230
SAP,230
SCS,230
Adsorption,229
RPM,229
Breast,228
Cyber-physical systems,227
OSA,227
USV,227
Atherosclerosis,226
GRASP,226
AGC,225
Ni,225
Pneumonia,225
Chl-a,224
IPS,224
Windows,224
Wolf,224
Collaboration,223
MOO,223
TEC,223
FSS,222
SRC,222
T2DM,222
Interpretability,220
NP-hardness,220
Pediatrics,220
Audio,219
Testing,219
ELD,218
Manufacturing,218
k-NN,218
Memory,217
SAD,217
SRM,217
Heterogeneous,216
ISM,216
Inflammation,216
Migration,216
PAH,216
Hybridization,215
Backpropagation,214
Latency,214
Rrs,214
FSI,213
Max,213
Selection,213
Delta,212
Elderly,212
Trauma,212
BPM,211
E-learning,211
Hippocampus,210
Simulink,210
quantum algorithms,210
Scattering,209
Ultrasonography,209
ADL,208
ATP,208
Photogrammetry,208
Exergy,207
OpenCL,207
SLE,207
Wireless mesh networks,207
Homogenization,206
Polarization,206
Quantization,206
Smart home,206
mHealth,206
Branch-and-cut,205
Exploration,205
FFR,205
IMRT,205
IPSO,205
Navier-Stokes,205
X-ray,205
Fuzzy systems,204
Planar,204
Preconditioning,204
Sepsis,204
CAC,202
TF-IDF,202
NM,201
SSVEP,201
LN,200
PHEV,200
Chemotherapy,199
HBV,199
Symmetric,199
Tractography,199
BESS,198
CA,198
M2,197
O3,197
Zn,196
Bluetooth,195
Broadband,195
Immunohistochemistry,195
Infrared,195
SSD,195
Autism,194
Perceptron,194
Unscented Kalman filter,194
fairness,194
BT,193
Decentralized,193
Plasticity,193
proteomics,193
Glioblastoma,192
Pregnancy,192
RFI,192
Runge-Kutta,192
Symmetry,192
APT,191
C-RAN,191
Intelligent transportation systems,191
Multichannel,191
NP-complete,191
SMOS,191
Synthesis,191
noise,191
Capacity,190
IV,190
OH,188
Pharmacy,188
Positioning,188
Retina,188
Search,188
CCTA,187
MI,187
RBM,187
COPD,186
PN,186
Smart,186
ISAR,185
South,185
Buckling,184
Hashing,184
Local binary pattern,184
Quadrotor,184
ACL,183
Deep,183
FER,183
Swarm,183
Feedback,182
Hydrology,182
Hysteresis,182
Knee,182
Multi-agent,182
OCT,182
Priority,182
LUT,181
Permeability,181
Distributed,180
